iter	Passed	Remaining
0	1	179
1	3	160
2	4	153
3	6	148
4	6	131
5	8	126
6	9	126
7	10	122
8	11	113
9	12	108
10	13	109
11	14	109
12	16	107
13	16	102
14	17	101
15	18	97
16	19	94
17	20	91
18	21	89
19	22	89
20	23	89
21	24	87
22	25	85
23	26	82
24	26	80
25	28	79
26	29	79
27	30	78
28	31	77
29	33	77
30	34	76
31	35	75
32	36	75
33	38	74
34	39	73
35	40	71
36	40	69
37	41	67
38	42	66
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	52
51	56	51
52	56	50
53	57	48
54	57	47
55	58	46
56	59	45
57	60	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	38
63	67	37
64	67	36
65	68	35
66	69	34
67	70	33
68	70	31
69	71	30
70	71	29
71	72	28
72	72	26
73	73	25
74	73	24
75	74	23
76	75	22
77	75	21
78	76	20
79	77	19
80	77	18
81	78	17
82	79	16
83	79	15
84	80	14
85	81	13
86	82	12
87	82	11
88	83	10
89	84	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	88	3
96	89	2
97	89	1
98	90	0
99	91	0
